Date,Time,Vendor Name,Invoice No,Amount,Department,Description
20-04-2025,8:48:12,"Velazquez, Santos and Davenport",INV-160,3040.9,IT,Maintenance
21-06-2025,3:15:49,Combs-Fitzpatrick,INV-153,5913.92,Finance,
23-06-2025,1:17:25,"Russo, Fitzgerald and Guzman",INV-156,2017.81,Operations,Maintenance
21-04-2025,7:40:21,Combs-Fitzpatrick,INV-135,3233.26,Marketing,Travel expenses
10-05-2025,20:44:50,"Hunter, Garcia and Acevedo",INV-117,1314.18,Marketing,Utility bill
26-05-2025,7:20:51,"Young, Murphy and Melton",INV-177,3537.28,IT,Maintenance
05-04-2025,15:52:02,"Jefferson, Gallagher and Tucker",INV-180,5890.6,IT,Utility bill
15-04-2025,11:27:32,"Hunter, Garcia and Acevedo",INV-114,3000,IT,Equipment
10-04-2025,23:10:32,"Russo, Fitzgerald and Guzman",INV-139,3989.22,HR,Consulting fee
11-05-2025,7:08:04,"Friedman, Adkins and Lee",INV-188,3433.81,Finance,Office supplies
15-06-2025,2:34:14,Smith-Lyons,INV-164,3746.1,Finance,Travel expenses
17-05-2025,13:42:39,"Hunter, Garcia and Acevedo",INV-192,2595.64,HR,Maintenance
15-04-2025,4:12:47,"Velazquez, Santos and Davenport",INV-190,894.39,IT,Consulting fee
05-05-2025,5:32:48,"Jefferson, Gallagher and Tucker",INV-170,75000,IT,Training
25-06-2025,10:20:41,"Friedman, Adkins and Lee",INV-144,4514.84,IT,Software purchase
16-06-2025,22:45:48,"Jefferson, Gallagher and Tucker",INV-133,3378.41,Marketing,
10-06-2025,0:50:49,Young Inc,INV-101,3267.35,HR,Travel expenses
24-06-2025,23:00:57,"Jefferson, Gallagher and Tucker",INV-187,3948.73,Operations,Office supplies
06-04-2025,15:09:42,"Mendoza, Aguirre and Reed",INV-185,1668.38,Finance,Software purchase
10-06-2025,10:28:36,Murray Inc,INV-173,2685.7,HR,Utility bill
12-04-2025,14:19:13,"Salinas, Aguirre and Wilson",INV-132,2000,Finance,Travel expenses
25-04-2025,13:39:41,"Mendoza, Aguirre and Reed",INV-176,3046.7,Finance,Consulting fee
26-05-2025,19:12:08,"Walters, Newton and Patterson",INV-183,2828.17,Finance,Software purchase
01-06-2025,18:00:41,"Hunter, Garcia and Acevedo",INV-192,100000,Operations,Office supplies
08-05-2025,6:06:36,"Velazquez, Santos and Davenport",INV-187,4805.74,HR,Equipment
09-05-2025,14:51:28,"Friedman, Adkins and Lee",INV-131,1825.23,Marketing,Utility bill
11-04-2025,17:26:00,Hobbs Inc,INV-174,3000,HR,Equipment
09-06-2025,2:46:37,Dunn-Harris,INV-155,3891.16,IT,Training
24-06-2025,1:40:49,"Moss, Hale and Cardenas",INV-106,3040.57,Marketing,Equipment
18-04-2025,8:42:20,Young Inc,INV-121,2613.39,Finance,License renewal
08-04-2025,17:40:32,"Young, Murphy and Melton",INV-185,2584.6,Operations,Office supplies
01-05-2025,10:29:20,"Jefferson, Gallagher and Tucker",INV-129,2956.2,Finance,Software purchase
14-06-2025,20:43:43,Smith-Lyons,INV-157,2109.2,Finance,Consulting fee
23-04-2025,3:26:52,"Hunter, Garcia and Acevedo",INV-169,2761.53,Marketing,Utility bill
06-06-2025,20:44:08,"Hunter, Garcia and Acevedo",INV-144,3815.49,IT,Utility bill
29-05-2025,10:39:08,"Walters, Newton and Patterson",INV-131,2378.33,HR,Training
25-06-2025,0:44:15,"Jefferson, Gallagher and Tucker",INV-115,3997.16,IT,Software purchase
06-04-2025,12:12:43,"Hunter, Garcia and Acevedo",INV-159,3043.55,Marketing,Utility bill
02-06-2025,12:34:39,"Young, Murphy and Melton",INV-177,3753.27,Marketing,Travel expenses
13-06-2025,19:02:09,"Hunter, Garcia and Acevedo",INV-144,5037.93,IT,Travel expenses
18-04-2025,3:08:22,"Jefferson, Gallagher and Tucker",INV-186,2589.15,Operations,
25-04-2025,0:14:53,"Friedman, Adkins and Lee",INV-117,5716.95,HR,Office supplies
20-04-2025,1:18:51,Young Inc,INV-163,3687.2,Operations,Maintenance
05-05-2025,16:47:19,Gonzalez-Santiago,INV-138,2545.3,Marketing,Maintenance
01-06-2025,4:04:40,"Russo, Fitzgerald and Guzman",INV-105,1953.43,Operations,Training
09-06-2025,9:26:34,White Inc,INV-157,1879.07,Marketing,Software purchase
09-04-2025,1:09:13,"Salinas, Aguirre and Wilson",INV-189,4000,IT,
21-05-2025,17:45:44,White Inc,INV-178,3935.02,Marketing,Consulting fee
25-06-2025,0:13:39,Dunn-Harris,INV-112,50000,Operations,Office supplies
07-05-2025,10:12:10,"Moss, Hale and Cardenas",INV-150,2385.39,Operations, 
26-04-2025,1:10:59,Gonzalez-Santiago,INV-113,3899.18,Marketing,Maintenance
15-06-2025,9:02:19,White Inc,INV-167,5200.03,Operations,Software purchase
27-06-2025,12:50:15,Smith-Lyons,INV-199,100000,Operations, 
28-06-2025,17:24:31,Dunn-Harris,INV-125,3.08,Finance,Maintenance
27-05-2025,18:00:30,"Moss, Hale and Cardenas",INV-181,2630.89,Operations,Travel expenses
15-05-2025,4:52:56,"Young, Murphy and Melton",INV-145,2834.93,Operations,Office supplies
15-04-2025,11:02:24,"Walters, Newton and Patterson",INV-164,2772.72,Operations, 
15-05-2025,6:26:44,"Friedman, Adkins and Lee",INV-170,3868.59,Finance,Software purchase
21-06-2025,12:58:31,"Mendoza, Aguirre and Reed",INV-179,3003.7,Marketing,Equipment
14-06-2025,20:25:13,"Friedman, Adkins and Lee",INV-196,1329.93,Operations,Software purchase
04-06-2025,1:34:26,"Young, Murphy and Melton",INV-118,5608.66,Finance,Training
12-06-2025,16:33:24,"Moss, Hale and Cardenas",INV-126,3262.28,Operations,Equipment
19-06-2025,16:04:38,Combs-Fitzpatrick,INV-128,3131.79,Marketing,Training
15-06-2025,6:04:44,"Friedman, Adkins and Lee",INV-146,3436.3,Operations,Office supplies
29-04-2025,16:48:06,Marks Ltd,INV-130,1636.29,Operations,Utility bill
10-04-2025,17:06:33,"Mendoza, Aguirre and Reed",INV-197,50000,Marketing, 
05-06-2025,4:45:10,Lucas-Smith,INV-192,3800.2,Marketing,
11-05-2025,6:10:13,Murray Inc,INV-102,3787.25,Operations,Maintenance
12-06-2025,10:00:20,"Salinas, Aguirre and Wilson",INV-130,3748.3,Marketing,Maintenance
02-05-2025,14:49:15,"Hunter, Garcia and Acevedo",INV-133,4246.19,IT,Office supplies
17-04-2025,12:20:38,Dunn-Harris,INV-125,3216.43,IT,License renewal
16-06-2025,17:07:49,Marks Ltd,INV-127,548.04,Marketing,Maintenance
03-06-2025,18:10:33,"Mendoza, Aguirre and Reed",INV-166,3072.11,Operations,Consulting fee
06-06-2025,19:23:40,"Young, Murphy and Melton",INV-109,1750.61,Operations,Training
06-04-2025,0:51:03,Lucas-Smith,INV-166,3033.47,Operations,Equipment
17-04-2025,9:42:40,Lucas-Smith,INV-140,2245.47,HR,Consulting fee
23-05-2025,20:39:57,"Young, Murphy and Melton",INV-184,265.6,HR, 
21-04-2025,21:03:44,Lucas-Smith,INV-120,4625.5,IT,Software purchase
29-06-2025,18:53:30,"Russo, Fitzgerald and Guzman",INV-127,4476.47,Operations,Utility bill
14-05-2025,13:51:07,Murray Inc,INV-149,2434.83,IT,Utility bill
22-04-2025,6:03:33,Combs-Fitzpatrick,INV-152,2928.5,Marketing,Maintenance
17-06-2025,15:05:40,"Mendoza, Aguirre and Reed",INV-116,3834.82,HR,Maintenance
21-05-2025,23:56:50,Young Inc,INV-116,3545.08,IT,Office supplies
08-04-2025,13:53:42,"Friedman, Adkins and Lee",INV-113,4169.17,Operations,Maintenance
29-05-2025,7:40:42,"Mendoza, Aguirre and Reed",INV-199,1882.61,HR,Travel expenses
25-06-2025,8:00:16,Young Inc,INV-187,1234.1,HR,Maintenance
30-05-2025,4:04:53,Combs-Fitzpatrick,INV-159,2366.72,Operations,Maintenance
08-05-2025,4:04:54,Marks Ltd,INV-156,2638.12,IT,Utility bill
08-05-2025,18:26:44,Gonzalez-Santiago,INV-172,3977.08,Operations, 
23-05-2025,18:34:09,Hobbs Inc,INV-181,984.42,Marketing,Equipment
17-05-2025,21:14:11,"Velazquez, Santos and Davenport",INV-111,3627.03,IT,
24-05-2025,1:09:49,"Mendoza, Aguirre and Reed",INV-106,2526.03,Finance,License renewal
23-04-2025,3:55:11,"Velazquez, Santos and Davenport",INV-142,2613.29,Marketing,
04-05-2025,3:26:33,"Russo, Fitzgerald and Guzman",INV-103,2559.59,Finance,Travel expenses
05-06-2025,6:21:30,Smith-Lyons,INV-163,2829.36,Marketing,License renewal
02-06-2025,0:21:06,"Walters, Newton and Patterson",INV-100,1886.57,IT,Utility bill
26-05-2025,0:40:18,Smith-Lyons,INV-168,3392.64,HR,Office supplies
29-05-2025,11:10:59,Murray Inc,INV-134,1723.45,Operations,Office supplies
29-04-2025,2:16:15,Combs-Fitzpatrick,INV-173,5384.14,HR,Equipment
07-05-2025,6:44:46,Young Inc,INV-100,1993.86,IT,Maintenance
04-06-2025,1:19:01,White Inc,INV-140,1404.56,IT,Office supplies
22-04-2025,1:21:12,White Inc,INV-128,3703.97,Marketing,License renewal
08-04-2025,10:27:27,"Russo, Fitzgerald and Guzman",INV-132,2697.06,Operations,Consulting fee
06-05-2025,0:14:36,"Jefferson, Gallagher and Tucker",INV-139,2371.18,IT,Travel expenses
17-04-2025,1:33:55,Gonzalez-Santiago,INV-122,50000,HR,Equipment
17-04-2025,6:12:12,"Young, Murphy and Melton",INV-182,1480.53,Marketing,Utility bill
30-04-2025,16:47:26,"Russo, Fitzgerald and Guzman",INV-197,594.24,Marketing,Maintenance
05-05-2025,0:21:20,"Walters, Newton and Patterson",INV-143,1693.91,Marketing,Travel expenses
14-05-2025,18:35:51,"Walters, Newton and Patterson",INV-113,5342.97,IT,License renewal
11-04-2025,2:29:05,Smith-Lyons,INV-189,6857.99,IT,Training
24-05-2025,5:59:36,"Young, Murphy and Melton",INV-184,4426.71,Operations,Equipment
25-04-2025,10:25:20,White Inc,INV-169,4268.41,Finance,Travel expenses
28-05-2025,16:45:11,"Young, Murphy and Melton",INV-193,5078.89,Operations,Office supplies
22-06-2025,0:30:45,Dunn-Harris,INV-136,3140.04,Operations,Travel expenses
01-07-2025,3:38:51,Lucas-Smith,INV-159,3247.89,HR, 
21-04-2025,11:28:37,Lucas-Smith,INV-149,3221.49,Marketing,
06-05-2025,18:39:26,Gonzalez-Santiago,INV-137,3167.97,Operations,Maintenance
22-06-2025,8:43:02,"Jefferson, Gallagher and Tucker",INV-116,1635.01,Marketing, 
08-04-2025,2:59:02,"Young, Murphy and Melton",INV-152,178.07,Finance,License renewal
11-06-2025,9:27:52,Hobbs Inc,INV-149,5981.24,Marketing,
25-05-2025,10:15:01,"Velazquez, Santos and Davenport",INV-107,4336.89,Operations,Utility bill
11-06-2025,18:54:20,Combs-Fitzpatrick,INV-177,2394.02,Marketing,Travel expenses
10-04-2025,15:36:26,"Young, Murphy and Melton",INV-140,1703.1,HR,Equipment
14-04-2025,9:03:09,Combs-Fitzpatrick,INV-198,5118.15,HR,Training
29-04-2025,15:47:27,Young Inc,INV-199,3991.87,Marketing,Software purchase
20-04-2025,20:17:07,Combs-Fitzpatrick,INV-188,2579.3,HR,Training
15-06-2025,19:34:18,"Moss, Hale and Cardenas",INV-169,2849.49,Marketing,Training
17-06-2025,11:48:42,"Friedman, Adkins and Lee",INV-122,3757.21,Marketing,
16-06-2025,14:58:59,Smith-Lyons,INV-189,3148.99,Marketing,License renewal
25-05-2025,11:03:39,Hobbs Inc,INV-195,2665.78,Marketing,Travel expenses
28-04-2025,21:41:39,"Jefferson, Gallagher and Tucker",INV-194,1953.16,HR,Software purchase
07-04-2025,17:03:49,White Inc,INV-150,2784.94,IT,Travel expenses
22-05-2025,7:55:57,"Jefferson, Gallagher and Tucker",INV-142,3585.93,Marketing,Training
03-06-2025,4:22:36,Dunn-Harris,INV-116,2682.08,HR,Maintenance
10-05-2025,15:12:58,Dunn-Harris,INV-152,2414.03,Finance,Consulting fee
17-05-2025,12:42:10,Murray Inc,INV-144,4686.58,HR,License renewal
26-06-2025,4:22:40,"Moss, Hale and Cardenas",INV-200,4207.23,HR,Maintenance
25-05-2025,5:29:34,Young Inc,INV-176,2146.9,IT,Software purchase
21-04-2025,18:11:19,Murray Inc,INV-130,5655.41,Finance,Travel expenses
13-06-2025,13:37:14,"Russo, Fitzgerald and Guzman",INV-104,1788.72,IT,Travel expenses
20-06-2025,2:48:40,Hobbs Inc,INV-131,100000,Finance,Equipment
10-06-2025,13:19:49,"Young, Murphy and Melton",INV-116,3337.72,Finance,Consulting fee
20-05-2025,2:21:21,"Young, Murphy and Melton",INV-163,332.11,Operations,Training
11-05-2025,10:08:15,"Moss, Hale and Cardenas",INV-164,1681.63,IT,Utility bill
27-05-2025,1:28:32,Hobbs Inc,INV-187,3502.28,HR,Travel expenses
27-05-2025,6:45:51,Dunn-Harris,INV-138,34.23,Marketing,Software purchase
18-05-2025,9:17:26,"Young, Murphy and Melton",INV-103,2136.89,Marketing,Travel expenses
29-05-2025,6:43:07,"Moss, Hale and Cardenas",INV-155,5046.11,IT,Utility bill
06-04-2025,23:02:34,"Young, Murphy and Melton",INV-166,3665.58,Finance,Equipment
30-05-2025,15:38:20,Murray Inc,INV-118,2392.76,Operations,Office supplies
11-04-2025,13:44:23,"Walters, Newton and Patterson",INV-192,4936.54,HR, 
10-05-2025,23:43:28,Gonzalez-Santiago,INV-135,3155.86,HR,Travel expenses
22-05-2025,20:46:35,"Mendoza, Aguirre and Reed",INV-109,3069.9,HR,Office supplies
29-04-2025,18:53:28,"Russo, Fitzgerald and Guzman",INV-121,2514.13,IT, 
13-05-2025,14:26:16,"Walters, Newton and Patterson",INV-184,362,Finance,
02-06-2025,21:26:13,Young Inc,INV-158,2545.29,Finance,Maintenance
26-04-2025,7:48:25,"Jefferson, Gallagher and Tucker",INV-147,5764.09,Operations,Training
19-06-2025,11:47:39,White Inc,INV-118,110.38,HR,Utility bill
24-04-2025,21:42:52,White Inc,INV-131,4596.51,IT,Training
17-06-2025,1:58:22,"Young, Murphy and Melton",INV-134,3026.05,IT,Office supplies
30-04-2025,2:26:51,Lucas-Smith,INV-104,10000,Finance,Software purchase
22-06-2025,9:03:16,Gonzalez-Santiago,INV-168,3582.82,Operations,Software purchase
14-04-2025,11:42:10,"Moss, Hale and Cardenas",INV-131,2810.9,HR,Maintenance
10-06-2025,2:33:49,White Inc,INV-170,2705.39,HR,Equipment
20-06-2025,0:14:18,"Moss, Hale and Cardenas",INV-160,2859.26,HR,License renewal
18-05-2025,5:57:46,"Russo, Fitzgerald and Guzman",INV-127,3385.67,HR,Travel expenses
24-06-2025,18:44:24,"Russo, Fitzgerald and Guzman",INV-192,936.27,Marketing,Equipment
07-05-2025,9:30:30,"Salinas, Aguirre and Wilson",INV-122,3535.45,Marketing,License renewal
06-06-2025,4:25:59,Combs-Fitzpatrick,INV-125,3399.81,HR,License renewal
02-05-2025,16:19:33,Combs-Fitzpatrick,INV-116,2253.68,IT,Office supplies
17-06-2025,8:51:23,"Mendoza, Aguirre and Reed",INV-138,2262.82,Marketing,License renewal
27-04-2025,10:40:13,"Salinas, Aguirre and Wilson",INV-116,75000,HR,Equipment
16-05-2025,3:03:36,"Hunter, Garcia and Acevedo",INV-105,4867.71,Marketing,Equipment
07-05-2025,16:05:15,"Young, Murphy and Melton",INV-160,2597.41,IT,Consulting fee
11-05-2025,2:05:35,Combs-Fitzpatrick,INV-160,4000,HR,Maintenance
12-04-2025,8:35:43,Young Inc,INV-108,3183.5,Finance,Travel expenses
13-06-2025,9:10:07,"Walters, Newton and Patterson",INV-134,2160.31,IT,Utility bill
22-05-2025,19:04:11,"Young, Murphy and Melton",INV-101,3650.18,Finance,Software purchase
03-06-2025,10:59:46,Gonzalez-Santiago,INV-145,4849.53,Marketing, 
28-05-2025,7:27:45,"Walters, Newton and Patterson",INV-154,10000,Operations,Travel expenses
11-04-2025,9:40:09,"Jefferson, Gallagher and Tucker",INV-121,3717.57,Marketing, 
04-05-2025,11:20:18,"Jefferson, Gallagher and Tucker",INV-111,4230.26,IT, 
17-04-2025,5:03:49,White Inc,INV-119,3996.41,Operations, 
27-06-2025,4:01:56,"Friedman, Adkins and Lee",INV-177,1262.37,Finance,Office supplies
06-04-2025,4:18:16,"Hunter, Garcia and Acevedo",INV-166,2313.6,Marketing,Travel expenses
25-05-2025,8:37:30,"Friedman, Adkins and Lee",INV-144,2865.07,Finance,Office supplies
13-05-2025,13:21:44,Smith-Lyons,INV-146,4359.62,Marketing,Utility bill
02-05-2025,18:47:55,"Velazquez, Santos and Davenport",INV-112,436.59,Finance,Office supplies
29-04-2025,6:45:02,"Friedman, Adkins and Lee",INV-145,5580.31,Marketing,Software purchase
30-04-2025,2:31:01,Marks Ltd,INV-161,3903.98,Finance, 
28-06-2025,19:01:58,Hobbs Inc,INV-107,4646.07,Operations,
14-04-2025,22:25:32,"Jefferson, Gallagher and Tucker",INV-122,864.9,HR, 
30-06-2025,15:01:20,"Hunter, Garcia and Acevedo",INV-143,3189.93,Operations,Utility bill
09-04-2025,13:42:17,Marks Ltd,INV-144,10000,Marketing, 
05-06-2025,22:24:40,"Velazquez, Santos and Davenport",INV-173,2651.37,HR,Office supplies
14-05-2025,14:05:30,Gonzalez-Santiago,INV-183,1026.36,Finance, 
27-06-2025,13:08:58,Murray Inc,INV-163,209.8,Finance,Equipment
25-04-2025,3:14:23,Marks Ltd,INV-157,1856.16,IT,Training
18-04-2025,22:04:07,Combs-Fitzpatrick,INV-126,5640.38,Finance,Training
28-06-2025,13:52:23,"Friedman, Adkins and Lee",INV-192,5975.31,Marketing,Training
03-05-2025,19:41:10,Hobbs Inc,INV-117,1276.31,Operations,Travel expenses
25-04-2025,21:13:33,Combs-Fitzpatrick,INV-166,3954.74,Marketing,
18-06-2025,20:35:40,"Russo, Fitzgerald and Guzman",INV-101,2744.06,Marketing,Utility bill
30-06-2025,19:10:37,"Velazquez, Santos and Davenport",INV-131,3431.89,Finance,Training
14-06-2025,4:09:49,White Inc,INV-192,3095.56,HR,Utility bill
03-05-2025,13:28:15,"Mendoza, Aguirre and Reed",INV-129,1145.97,Operations,
21-04-2025,17:44:15,Combs-Fitzpatrick,INV-128,3782.09,Marketing,Maintenance
16-05-2025,9:40:22,Combs-Fitzpatrick,INV-192,1689.38,Finance,Equipment
26-04-2025,22:39:27,Smith-Lyons,INV-138,75000,Operations,License renewal
14-05-2025,18:18:44,"Mendoza, Aguirre and Reed",INV-176,1426.38,Operations, 
08-06-2025,2:03:37,"Salinas, Aguirre and Wilson",INV-148,1548.28,Finance,
30-04-2025,18:11:25,"Young, Murphy and Melton",INV-194,3907.74,HR, 
17-06-2025,21:26:28,Hobbs Inc,INV-191,3171.37,Finance,Travel expenses
09-04-2025,16:37:39,"Salinas, Aguirre and Wilson",INV-160,6275.71,Finance,Utility bill
14-04-2025,14:50:53,Marks Ltd,INV-104,6710.05,HR, 
14-04-2025,8:11:14,"Friedman, Adkins and Lee",INV-170,2239.23,Marketing,Equipment
26-04-2025,15:17:00,"Young, Murphy and Melton",INV-158,2047.42,Operations,Training
04-06-2025,17:35:03,"Walters, Newton and Patterson",INV-150,4423.95,IT,Training
26-06-2025,3:14:03,Dunn-Harris,INV-174,5360.42,IT,Travel expenses
08-04-2025,20:28:18,Murray Inc,INV-100,2769.6,Operations,Equipment
21-05-2025,7:00:36,Murray Inc,INV-167,2574.3,Marketing,Office supplies
22-04-2025,10:00:26,"Friedman, Adkins and Lee",INV-108,4468.53,Marketing,Consulting fee
26-04-2025,1:53:01,"Young, Murphy and Melton",INV-137,3622.96,Operations,
15-05-2025,18:21:11,"Young, Murphy and Melton",INV-140,988.92,Operations,Equipment
09-05-2025,15:52:33,"Jefferson, Gallagher and Tucker",INV-176,2706.75,Operations,Office supplies
05-06-2025,18:27:29,"Hunter, Garcia and Acevedo",INV-186,1978.37,Operations,Equipment
25-06-2025,20:14:09,"Jefferson, Gallagher and Tucker",INV-193,3977.43,HR,Consulting fee
05-04-2025,7:36:13,"Mendoza, Aguirre and Reed",INV-161,3601.7,Operations,License renewal
15-06-2025,2:42:19,"Russo, Fitzgerald and Guzman",INV-198,100000,Finance,Software purchase
30-04-2025,7:01:58,Young Inc,INV-103,4733.1,Finance,Equipment
20-06-2025,7:06:45,"Walters, Newton and Patterson",INV-157,1046.73,Operations,Office supplies
12-05-2025,7:05:36,Lucas-Smith,INV-163,2646.84,Operations,Maintenance
16-05-2025,7:38:46,Lucas-Smith,INV-112,264.6,HR,Office supplies
25-05-2025,7:10:04,Marks Ltd,INV-158,1783.88,Operations,Maintenance
14-04-2025,12:56:57,Hobbs Inc,INV-165,7000,HR,Travel expenses
05-04-2025,16:03:53,"Jefferson, Gallagher and Tucker",INV-129,50000,Marketing,Maintenance
13-04-2025,6:06:12,"Young, Murphy and Melton",INV-162,5576.97,Operations,Training
22-05-2025,8:59:50,"Salinas, Aguirre and Wilson",INV-184,2398.12,Marketing,Equipment
05-04-2025,17:58:54,Lucas-Smith,INV-181,2845.8,IT,Consulting fee
24-04-2025,11:46:37,Murray Inc,INV-136,4260.77,Finance,Travel expenses
29-05-2025,13:11:07,Dunn-Harris,INV-161,2813.89,IT,License renewal
28-04-2025,23:56:34,"Jefferson, Gallagher and Tucker",INV-130,3210.83,Operations,Office supplies
24-06-2025,8:10:28,"Mendoza, Aguirre and Reed",INV-117,3335.39,Marketing,
15-04-2025,14:27:53,Murray Inc,INV-132,1371.18,HR,Travel expenses
12-04-2025,7:51:26,"Moss, Hale and Cardenas",INV-200,1990.37,IT,Maintenance
02-05-2025,11:14:53,"Walters, Newton and Patterson",INV-156,75000,HR,License renewal
10-05-2025,17:14:38,"Jefferson, Gallagher and Tucker",INV-199,2736.64,HR,Software purchase
08-06-2025,19:37:46,"Mendoza, Aguirre and Reed",INV-189,4714.65,Finance,
10-06-2025,15:23:16,Dunn-Harris,INV-138,2857.61,Operations,Software purchase
30-04-2025,4:33:11,Combs-Fitzpatrick,INV-167,2633.26,Marketing,Travel expenses
01-07-2025,6:54:37,"Walters, Newton and Patterson",INV-100,2679.34,HR,License renewal
17-06-2025,2:18:58,"Hunter, Garcia and Acevedo",INV-116,2422.29,HR,License renewal
02-06-2025,7:30:19,Combs-Fitzpatrick,INV-175,4652.99,Marketing,License renewal
15-06-2025,6:12:35,"Mendoza, Aguirre and Reed",INV-117,1739.64,IT,Office supplies
07-05-2025,19:19:22,Lucas-Smith,INV-183,2332.05,Marketing,Training
04-04-2025,10:25:22,"Mendoza, Aguirre and Reed",INV-108,1320.66,HR,Utility bill
21-04-2025,15:41:39,Murray Inc,INV-198,2726.02,IT,Travel expenses
11-06-2025,18:15:36,"Russo, Fitzgerald and Guzman",INV-189,2049.39,Finance, 
03-06-2025,1:24:15,Young Inc,INV-130,3000,Operations,Consulting fee
27-06-2025,18:05:04,Marks Ltd,INV-159,2250.62,IT,Equipment
12-05-2025,15:41:03,"Walters, Newton and Patterson",INV-100,1027.9,IT,
10-06-2025,11:25:07,"Russo, Fitzgerald and Guzman",INV-197,2470.14,Operations,
24-05-2025,4:33:37,Lucas-Smith,INV-153,4062.06,Finance,Software purchase
14-04-2025,2:42:53,Young Inc,INV-121,3910.07,Marketing,License renewal
10-04-2025,3:11:35,"Salinas, Aguirre and Wilson",INV-160,2664.21,Operations,Training
27-04-2025,8:57:19,"Young, Murphy and Melton",INV-181,1875.78,HR,Office supplies
12-04-2025,3:32:03,Gonzalez-Santiago,INV-197,1540.35,Finance,Office supplies
07-04-2025,21:24:40,Young Inc,INV-132,1385.6,Marketing,Maintenance
15-05-2025,0:12:48,Marks Ltd,INV-159,4482.54,Finance,Maintenance
12-06-2025,8:27:08,"Jefferson, Gallagher and Tucker",INV-130,4452.65,Marketing,License renewal
03-04-2025,8:33:44,"Velazquez, Santos and Davenport",INV-141,50000,IT,Travel expenses
23-04-2025,22:46:36,Murray Inc,INV-104,3608.45,IT,Utility bill
15-05-2025,23:58:18,Lucas-Smith,INV-175,3624.09,HR,Maintenance
14-04-2025,11:36:23,"Jefferson, Gallagher and Tucker",INV-181,3489.64,Finance,Travel expenses
23-05-2025,8:32:56,"Velazquez, Santos and Davenport",INV-150,3572.78,Marketing,Equipment
05-06-2025,23:35:33,Murray Inc,INV-113,3896.02,HR,
18-05-2025,23:21:56,Combs-Fitzpatrick,INV-129,3484.16,HR,Equipment
14-04-2025,13:01:56,Hobbs Inc,INV-125,4367.93,IT,Software purchase
31-05-2025,7:13:38,"Young, Murphy and Melton",INV-161,3783.59,HR,License renewal
04-05-2025,22:10:04,Lucas-Smith,INV-137,4981.09,Finance,Consulting fee
28-06-2025,19:46:38,Dunn-Harris,INV-152,2815.64,Finance,Office supplies
19-04-2025,4:20:03,Smith-Lyons,INV-176,2065.98,IT,Utility bill
17-04-2025,16:54:11,"Velazquez, Santos and Davenport",INV-191,3191.13,Operations,Equipment
20-05-2025,19:53:00,"Hunter, Garcia and Acevedo",INV-114,1090.67,IT,Office supplies
03-05-2025,17:44:15,Lucas-Smith,INV-177,1838.86,Finance,Utility bill
17-05-2025,9:29:29,White Inc,INV-178,93.31,IT,License renewal
30-06-2025,13:03:11,"Jefferson, Gallagher and Tucker",INV-190,1865.91,Operations,Equipment
02-05-2025,12:34:15,Young Inc,INV-145,2997.36,IT,Travel expenses
15-04-2025,6:22:18,Marks Ltd,INV-190,3972.06,Operations,Equipment
27-06-2025,9:29:32,Murray Inc,INV-185,4734.18,Finance,Equipment
02-06-2025,10:11:18,"Salinas, Aguirre and Wilson",INV-125,1380.93,Operations,Office supplies
05-05-2025,9:09:32,Combs-Fitzpatrick,INV-199,1169.42,Marketing,Training
21-05-2025,14:42:03,Dunn-Harris,INV-116,3000,IT,Utility bill
30-05-2025,20:00:07,"Salinas, Aguirre and Wilson",INV-134,2297.52,Marketing, 
17-04-2025,1:02:38,"Walters, Newton and Patterson",INV-176,4743.38,HR,Maintenance
09-04-2025,8:46:17,Murray Inc,INV-132,4184.84,Operations,License renewal
18-06-2025,12:03:32,Young Inc,INV-179,1699.79,Finance,Consulting fee
11-05-2025,16:12:59,"Hunter, Garcia and Acevedo",INV-167,3644.62,Finance,Maintenance
11-05-2025,17:45:51,Murray Inc,INV-173,3103.3,IT, 
14-05-2025,21:13:53,"Salinas, Aguirre and Wilson",INV-185,2356.92,Marketing,Maintenance
31-05-2025,17:58:31,Hobbs Inc,INV-156,4900.37,HR,Equipment
16-05-2025,6:16:30,"Moss, Hale and Cardenas",INV-128,4769.23,Finance,License renewal
04-06-2025,2:08:46,"Velazquez, Santos and Davenport",INV-155,6404.19,HR,Training
21-06-2025,12:02:44,"Walters, Newton and Patterson",INV-118,1260.78,IT, 
16-06-2025,20:21:05,Murray Inc,INV-126,2909.25,Finance,Utility bill
22-04-2025,21:41:45,"Jefferson, Gallagher and Tucker",INV-146,1063.4,Finance,Office supplies
29-04-2025,11:02:42,Lucas-Smith,INV-189,2940.09,Operations,License renewal
27-05-2025,4:11:14,Young Inc,INV-170,586.98,Marketing,Travel expenses
14-05-2025,19:57:38,Dunn-Harris,INV-148,3206.05,Finance,Training
26-06-2025,19:25:15,"Velazquez, Santos and Davenport",INV-128,3136.42,Operations,Software purchase
10-05-2025,6:19:35,"Jefferson, Gallagher and Tucker",INV-115,978.08,Marketing,
30-06-2025,13:13:35,Marks Ltd,INV-177,2488.06,HR,Travel expenses
20-04-2025,22:57:31,"Friedman, Adkins and Lee",INV-199,4449.16,IT,License renewal
28-05-2025,8:49:21,Smith-Lyons,INV-186,3224.64,IT,Travel expenses
08-04-2025,8:46:43,Marks Ltd,INV-130,3128.86,IT,Equipment
